epoch,loss
1.0,-0.2984434322627025
2.0,-0.4407993604029928
3.0,-0.4512613979408714
4.0,-0.49301783941229993
5.0,-0.48194908499717715
6.0,-0.5057703454883731
7.0,-0.5168158862055564
8.0,-0.525846629240075
9.0,-0.5155904313739466
10.0,-0.7633349187520085
11.0,-0.7826976810182844
12.0,-0.8889717718776391
13.0,-1.0003339120319912
14.0,-1.0659289941495778
15.0,-1.1063931754657201
16.0,-1.22955733026777
17.0,-1.2617987807916136
18.0,-1.2796804768698555
19.0,-1.2678433009556362
20.0,-1.2737678021800762
21.0,-1.2909220374360377
22.0,-1.2994656343849338
23.0,-1.3202276117947638
24.0,-1.3174987851356974
25.0,-1.3599443961162956
26.0,-1.373197490828378
27.0,-1.3887255182071607
28.0,-1.3889347811134494
29.0,-1.4310249883301405
30.0,-1.465854582494619
31.0,-1.4558016942471874
32.0,-1.4595434578097597
33.0,-1.4729040184799507
34.0,-1.4742320586223991
35.0,-1.4908222456367648
36.0,-1.493808804726114
37.0,-1.4928609337125505
38.0,-1.4989950978026099
39.0,-1.5208185546252193
40.0,-1.5390338333285585
41.0,-1.5264053218218745
42.0,-1.5526369596014218
43.0,-1.5420918960960543
44.0,-1.5587128595430024
45.0,-1.5403363529516727
46.0,-1.5467285404399949
47.0,-1.5402122487827223
48.0,-1.5481089382755513
49.0,-1.5401043381009782
50.0,-1.5644269558848167
51.0,-1.5528374754652685
52.0,-1.5648101271415242
53.0,-1.5541982402606886
54.0,-1.5727304930589636
55.0,-1.5718264078607365
56.0,-1.5719394245926215
57.0,-1.577559780101387
58.0,-1.5600079930558497
59.0,-1.5451607854998841
60.0,-1.5478537632494556
61.0,-1.555171207992398
62.0,-1.559194267525965
63.0,-1.566433615100627
64.0,-1.563800632223791
65.0,-1.557798016314604
66.0,-1.5587986848792252
67.0,-1.549785635422687
68.0,-1.540082665852138
69.0,-1.5712438043282957
70.0,-1.5687084957044952
71.0,-1.5526195336361321
72.0,-1.579323966649114
73.0,-1.5728763161873331
74.0,-1.5779070902843864
75.0,-1.577319947067572
76.0,-1.5846654074532645
77.0,-1.5320777017243055
78.0,-1.5589803481588558
79.0,-1.5704463267812923
80.0,-1.5671555373133446
81.0,-1.5838651316506522
82.0,-1.5699321756557543
83.0,-1.5806030575109988
84.0,-1.5793949521317774
85.0,-1.5615714009927244
86.0,-1.5962858204938928
87.0,-1.5842496798962964
88.0,-1.595956311907087
89.0,-1.5679993201275262
90.0,-1.5831858839307513
91.0,-1.5799336866456635
92.0,-1.5843528981111488
93.0,-1.58294249116158
94.0,-1.5772074207967641
95.0,-1.5741887433188302
96.0,-1.5832625992444096
97.0,-1.5995420363484596
98.0,-1.5888074986788692
99.0,-1.5892903001940981
100.0,-1.605448496098421
