epoch,loss
1.0,-0.3285927779693493
2.0,-0.47206117344551346
3.0,-0.48412720433303286
4.0,-0.5241562006424885
5.0,-0.5190900691917965
6.0,-0.5319467233557279
7.0,-0.5248433554253611
8.0,-0.5281193037422336
9.0,-0.5454268212221107
10.0,-0.5374211451026047
11.0,-0.5351904421842018
12.0,-0.5017984568261776
13.0,-0.532488713053619
14.0,-0.6610135861805507
15.0,-0.7971932259546656
16.0,-0.814318432288916
17.0,-0.8347756939680397
18.0,-0.8258099608680829
19.0,-0.8284681273155472
20.0,-0.8426353452967948
21.0,-0.84047931432724
22.0,-0.84014211949848
23.0,-0.8413932582959026
24.0,-0.8407020933774053
25.0,-0.8456941595693834
26.0,-0.8613100266780983
27.0,-0.8563322656008662
28.0,-0.8499933756938597
29.0,-0.861828490584886
30.0,-0.8336783444800344
31.0,-0.866704667101101
32.0,-0.8642131592951664
33.0,-0.8792257625229505
34.0,-0.8574499305413694
35.0,-0.8718375531183619
36.0,-0.8799127932308483
37.0,-0.8870718827863939
38.0,-0.877562445037219
39.0,-0.8861539793663284
40.0,-0.886243977514254
41.0,-0.8901559945677413
42.0,-0.8844687318315312
43.0,-0.8857803847514042
44.0,-0.8933762097034325
45.0,-0.8927624983852412
46.0,-0.8925879005672169
47.0,-0.8907199201940679
48.0,-0.8908255384081886
49.0,-0.8579035904131779
50.0,-0.9061771189274431
51.0,-0.8952774332494152
52.0,-0.9226311712848897
53.0,-0.9134246362309878
54.0,-0.8875945988966494
55.0,-0.9161441614027737
56.0,-0.9171772534344472
57.0,-0.8923291458564551
58.0,-0.8847967828212141
59.0,-0.9079980319049082
60.0,-0.8784140964754584
61.0,-0.8923336267471313
62.0,-0.9307553581640023
63.0,-0.935334236848922
64.0,-0.9297312060180976
65.0,-0.927985142688362
66.0,-0.9277659005859271
67.0,-0.922090815443571
68.0,-0.939843603137399
69.0,-0.924787009654402
70.0,-0.9110315052830443
71.0,-0.9342579602384243
72.0,-0.9282923134005799
73.0,-0.942997083777473
74.0,-0.9521953122956412
75.0,-0.9429396204396981
76.0,-0.9562477951958066
77.0,-0.9651553999809992
78.0,-0.9540856813086944
79.0,-0.9709134977691027
80.0,-0.9859504326671159
81.0,-0.9798052582611032
82.0,-0.9837010064903571
83.0,-0.9930939970373296
84.0,-0.9905808868051387
85.0,-1.0008626576183604
86.0,-0.9911786281332677
87.0,-1.006856365674207
88.0,-0.9979106317572042
89.0,-0.98922222325591
90.0,-0.990781565507253
91.0,-1.0010384240118013
92.0,-0.9832990680422101
93.0,-1.0101410292443775
94.0,-1.0133295675524239
95.0,-1.0324657956759136
96.0,-1.032687280859266
97.0,-1.0331697017968107
98.0,-1.0363762597648465
99.0,-1.0367891447884696
100.0,-1.0394560552778698
